Date,Year,Month,Day,Arrival Quantity,Min Price,Max Price,Previous_Modal_Price,Modal Price
2002-03-27,2002,3,27,0.0,300.0,400.0,570.0,360.0
2002-04-03,2002,4,3,0.0,200.0,280.0,360.0,240.0
2002-04-04,2002,4,4,0.0,160.0,240.0,240.0,200.0
2002-04-08,2002,4,8,0.0,150.0,260.0,200.0,210.0
2002-04-09,2002,4,9,0.0,140.0,200.0,210.0,170.0
2002-04-11,2002,4,11,0.0,160.0,200.0,170.0,180.0
2002-04-16,2002,4,16,0.0,100.0,160.0,180.0,130.0
2002-04-17,2002,4,17,0.0,160.0,200.0,130.0,180.0
2002-04-18,2002,4,18,0.0,140.0,180.0,180.0,160.0
2002-04-19,2002,4,19,0.0,125.0,160.0,160.0,140.0
2002-04-22,2002,4,22,0.0,140.0,200.0,140.0,170.0
2002-04-26,2002,4,26,0.0,110.0,160.0,170.0,140.0
2002-04-29,2002,4,29,0.0,110.0,140.0,140.0,130.0
2002-04-30,2002,4,30,0.0,120.0,160.0,130.0,140.0
2002-05-01,2002,5,1,0.0,140.0,200.0,140.0,170.0
2002-05-02,2002,5,2,0.0,160.0,200.0,170.0,180.0
2002-05-03,2002,5,3,0.0,160.0,220.0,180.0,190.0
2002-05-04,2002,5,4,0.0,160.0,240.0,190.0,200.0
2002-05-06,2002,5,6,15.0,140.0,200.0,200.0,170.0
2002-05-07,2002,5,7,19.0,116.0,206.0,170.0,160.0
2002-05-08,2002,5,8,13.0,120.0,200.0,160.0,160.0
2002-05-10,2002,5,10,20.0,120.0,190.0,160.0,160.0
2002-05-13,2002,5,13,11.0,160.0,220.0,160.0,180.0
2002-05-14,2002,5,14,8.0,140.0,200.0,180.0,170.0
2002-05-15,2002,5,15,11.0,160.0,240.0,170.0,200.0
2002-05-16,2002,5,16,8.0,200.0,260.0,200.0,230.0
2002-05-17,2002,5,17,6.0,200.0,300.0,230.0,250.0
2002-05-20,2002,5,20,0.0,200.0,300.0,250.0,250.0
2002-05-21,2002,5,21,0.0,240.0,350.0,250.0,295.0
2002-05-22,2002,5,22,0.0,250.0,300.0,295.0,300.0
2002-05-23,2002,5,23,0.0,240.0,360.0,300.0,300.0
2002-05-24,2002,5,24,0.0,250.0,350.0,300.0,300.0
2002-05-27,2002,5,27,0.0,300.0,400.0,300.0,350.0
2002-05-28,2002,5,28,0.0,250.0,360.0,350.0,310.0
2002-09-11,2002,9,11,33.0,800.0,950.0,310.0,880.0
2002-10-22,2002,10,22,17.0,760.0,900.0,880.0,830.0
2002-11-12,2002,11,12,0.0,800.0,900.0,830.0,850.0
2002-11-13,2002,11,13,0.0,700.0,800.0,850.0,750.0
2002-11-14,2002,11,14,0.0,700.0,780.0,750.0,740.0
2002-11-15,2002,11,15,0.0,700.0,760.0,740.0,730.0
2002-11-16,2002,11,16,0.0,600.0,700.0,730.0,660.0
2002-11-18,2002,11,18,0.0,400.0,500.0,660.0,460.0
2002-11-20,2002,11,20,0.0,380.0,500.0,460.0,440.0
2002-11-21,2002,11,21,0.0,300.0,460.0,440.0,421.0
2002-11-22,2002,11,22,0.0,300.0,400.0,421.0,380.0
2002-11-23,2002,11,23,0.0,320.0,410.0,380.0,370.0
2002-11-25,2002,11,25,0.0,300.0,400.0,370.0,350.0
2002-11-26,2002,11,26,0.0,350.0,450.0,350.0,400.0
2002-11-27,2002,11,27,0.0,300.0,400.0,400.0,350.0
2002-11-28,2002,11,28,0.0,300.0,400.0,350.0,360.0
2002-11-29,2002,11,29,0.0,320.0,400.0,360.0,360.0
2002-11-30,2002,11,30,0.0,280.0,400.0,360.0,340.0
2002-12-02,2002,12,2,0.0,260.0,380.0,340.0,320.0
2002-12-03,2002,12,3,0.0,300.0,400.0,320.0,350.0
2002-12-04,2002,12,4,0.0,280.0,380.0,350.0,330.0
2002-12-05,2002,12,5,0.0,300.0,400.0,330.0,385.0
2002-12-09,2002,12,9,0.0,300.0,450.0,385.0,395.0
2002-12-10,2002,12,10,25.0,300.0,400.0,395.0,350.0
2002-12-11,2002,12,11,0.0,320.0,400.0,350.0,360.0
2002-12-12,2002,12,12,0.0,380.0,380.0,360.0,350.0
2002-12-13,2002,12,13,0.0,260.0,350.0,350.0,305.0
2002-12-14,2002,12,14,0.0,200.0,300.0,305.0,260.0
2002-12-17,2002,12,17,0.0,180.0,300.0,260.0,240.0
2002-12-18,2002,12,18,0.0,140.0,200.0,240.0,170.0
2002-12-19,2002,12,19,0.0,160.0,200.0,170.0,180.0
2002-12-20,2002,12,20,0.0,140.0,200.0,180.0,170.0
2002-12-23,2002,12,23,0.0,100.0,160.0,170.0,130.0
2002-12-24,2002,12,24,0.0,100.0,140.0,130.0,120.0
2002-12-26,2002,12,26,0.0,120.0,180.0,120.0,150.0
2002-12-28,2002,12,28,0.0,125.0,185.0,150.0,155.0
2002-12-30,2002,12,30,0.0,120.0,200.0,155.0,160.0
2003-01-02,2003,1,2,0.0,120.0,200.0,160.0,160.0
2003-01-03,2003,1,3,0.0,140.0,220.0,160.0,180.0
2003-01-04,2003,1,4,0.0,120.0,210.0,180.0,165.0
2003-01-06,2003,1,6,0.0,110.0,120.0,165.0,150.0
2003-01-07,2003,1,7,0.0,100.0,180.0,150.0,140.0
2003-01-08,2003,1,8,0.0,100.0,160.0,140.0,130.0
2003-01-09,2003,1,9,0.0,110.0,190.0,130.0,150.0
2003-01-10,2003,1,10,46.0,100.0,180.0,150.0,140.0
2003-01-13,2003,1,13,18.0,120.0,220.0,140.0,170.0
2003-01-14,2003,1,14,25.0,120.0,200.0,170.0,160.0
2003-01-15,2003,1,15,0.0,200.0,300.0,160.0,260.0
2003-01-16,2003,1,16,23.0,240.0,360.0,260.0,300.0
2003-01-17,2003,1,17,33.0,260.0,380.0,300.0,320.0
2003-01-18,2003,1,18,26.0,300.0,380.0,320.0,340.0
2003-01-21,2003,1,21,41.0,200.0,300.0,340.0,250.0
2003-01-23,2003,1,23,46.0,200.0,300.0,250.0,250.0
2003-01-24,2003,1,24,0.0,200.0,280.0,250.0,240.0
2003-01-25,2003,1,25,3.0,200.0,300.0,240.0,255.0
2003-01-27,2003,1,27,0.0,180.0,300.0,255.0,240.0
2003-01-30,2003,1,30,18.0,160.0,280.0,240.0,220.0
2003-01-31,2003,1,31,26.0,140.0,260.0,220.0,200.0
2003-02-03,2003,2,3,28.0,180.0,300.0,200.0,240.0
2003-02-04,2003,2,4,34.0,180.0,320.0,240.0,250.0
2003-02-06,2003,2,6,0.0,170.0,260.0,250.0,215.0
2003-02-07,2003,2,7,0.0,180.0,290.0,215.0,235.0
2003-02-08,2003,2,8,41.0,160.0,280.0,235.0,220.0
2003-02-10,2003,2,10,36.0,160.0,240.0,220.0,210.0
2003-02-13,2003,2,13,4.0,120.0,200.0,210.0,160.0
2003-02-17,2003,2,17,0.0,100.0,180.0,160.0,140.0
2003-02-18,2003,2,18,0.0,110.0,190.0,140.0,150.0
2003-02-20,2003,2,20,0.0,110.0,200.0,150.0,160.0
2003-02-21,2003,2,21,18.0,120.0,220.0,160.0,170.0
2003-02-22,2003,2,22,4.0,160.0,280.0,170.0,220.0
2003-02-24,2003,2,24,6.0,110.0,220.0,220.0,165.0
2003-02-25,2003,2,25,8.0,120.0,240.0,165.0,180.0
2003-02-26,2003,2,26,13.0,190.0,260.0,180.0,200.0
2003-02-27,2003,2,27,6.0,160.0,260.0,200.0,210.0
2003-03-03,2003,3,3,9.0,180.0,300.0,210.0,240.0
2003-03-04,2003,3,4,2.0,160.0,300.0,240.0,280.0
2003-03-05,2003,3,5,0.0,160.0,270.0,280.0,225.0
2003-03-06,2003,3,6,0.0,180.0,300.0,225.0,240.0
2003-03-07,2003,3,7,0.0,160.0,300.0,240.0,230.0
2003-03-10,2003,3,10,11.0,180.0,300.0,230.0,240.0
2003-03-11,2003,3,11,21.0,200.0,320.0,240.0,260.0
2003-03-12,2003,3,12,16.0,220.0,360.0,260.0,290.0
2003-03-13,2003,3,13,21.0,200.0,360.0,290.0,280.0
2003-03-15,2003,3,15,19.0,220.0,380.0,280.0,300.0
2003-03-17,2003,3,17,11.0,200.0,300.0,300.0,250.0
2003-03-21,2003,3,21,18.0,140.0,260.0,250.0,200.0
2003-03-22,2003,3,22,21.0,160.0,250.0,200.0,205.0
2003-03-25,2003,3,25,4.0,160.0,300.0,205.0,230.0
2003-03-26,2003,3,26,18.0,180.0,320.0,230.0,250.0
2003-03-27,2003,3,27,3.0,200.0,360.0,250.0,280.0
2003-03-29,2003,3,29,9.0,280.0,400.0,280.0,340.0
2003-03-31,2003,3,31,0.0,200.0,300.0,340.0,250.0
2003-04-01,2003,4,1,4.0,140.0,260.0,250.0,200.0
2003-04-02,2003,4,2,17.0,120.0,230.0,200.0,175.0
2003-04-03,2003,4,3,13.0,110.0,200.0,175.0,185.0
2003-04-04,2003,4,4,16.0,120.0,210.0,185.0,165.0
2003-04-05,2003,4,5,0.0,100.0,180.0,165.0,140.0
2003-04-07,2003,4,7,0.0,110.0,170.0,140.0,140.0
2003-04-08,2003,4,8,1.0,110.0,180.0,140.0,145.0
2003-04-10,2003,4,10,0.0,180.0,260.0,145.0,220.0
2003-04-11,2003,4,11,0.0,180.0,260.0,220.0,220.0
2003-04-12,2003,4,12,10.0,200.0,300.0,220.0,250.0
2003-04-16,2003,4,16,12.0,300.0,400.0,250.0,350.0
2003-04-17,2003,4,17,0.0,300.0,500.0,350.0,400.0
2003-04-21,2003,4,21,0.0,300.0,500.0,400.0,400.0
2003-04-22,2003,4,22,0.0,300.0,400.0,400.0,350.0
2003-04-23,2003,4,23,0.0,280.0,360.0,350.0,320.0
2003-04-24,2003,4,24,9.0,250.0,350.0,320.0,300.0
2003-04-25,2003,4,25,0.0,200.0,320.0,300.0,260.0
2003-04-26,2003,4,26,0.0,200.0,300.0,260.0,250.0
2003-04-28,2003,4,28,6.0,200.0,280.0,250.0,240.0
2003-04-29,2003,4,29,0.0,250.0,350.0,240.0,300.0
2003-04-30,2003,4,30,0.0,250.0,360.0,300.0,305.0
2003-05-06,2003,5,6,0.0,500.0,600.0,305.0,560.0
2003-11-25,2003,11,25,0.0,750.0,900.0,560.0,825.0
2003-11-27,2003,11,27,0.0,750.0,925.0,825.0,840.0
2003-11-28,2003,11,28,0.0,700.0,850.0,840.0,775.0
2003-12-02,2003,12,2,0.0,750.0,800.0,775.0,780.0
2003-12-03,2003,12,3,0.0,760.0,800.0,780.0,780.0
2003-12-04,2003,12,4,0.0,700.0,800.0,780.0,750.0
2003-12-05,2003,12,5,0.0,700.0,850.0,750.0,775.0
2003-12-06,2003,12,6,61.0,750.0,900.0,775.0,825.0
2003-12-08,2003,12,8,0.0,700.0,800.0,825.0,750.0
2003-12-09,2003,12,9,104.0,650.0,800.0,750.0,725.0
2003-12-10,2003,12,10,0.0,600.0,800.0,725.0,700.0
2003-12-11,2003,12,11,0.0,550.0,750.0,700.0,650.0
2003-12-12,2003,12,12,0.0,500.0,700.0,650.0,600.0
2003-12-13,2003,12,13,0.0,400.0,600.0,600.0,500.0
2003-12-15,2003,12,15,56.0,400.0,500.0,500.0,450.0
2003-12-16,2003,12,16,0.0,450.0,560.0,450.0,505.0
2003-12-17,2003,12,17,0.0,400.0,600.0,505.0,500.0
2003-12-18,2003,12,18,0.0,360.0,550.0,500.0,455.0
2003-12-19,2003,12,19,62.0,300.0,500.0,455.0,400.0
2003-12-20,2003,12,20,0.0,400.0,550.0,400.0,480.0
2003-12-22,2003,12,22,0.0,400.0,600.0,480.0,500.0
2003-12-23,2003,12,23,0.0,450.0,600.0,500.0,525.0
2003-12-24,2003,12,24,36.0,500.0,600.0,525.0,550.0
2003-12-26,2003,12,26,0.0,550.0,600.0,550.0,575.0
2003-12-29,2003,12,29,46.0,550.0,550.0,575.0,600.0
2003-12-30,2003,12,30,0.0,600.0,700.0,600.0,650.0
2003-12-31,2003,12,31,41.0,650.0,750.0,650.0,700.0
2004-01-01,2004,1,1,48.0,650.0,760.0,700.0,705.0
2004-01-02,2004,1,2,29.0,660.0,800.0,705.0,750.0
2004-01-03,2004,1,3,57.0,700.0,800.0,750.0,750.0
2004-01-05,2004,1,5,5.0,750.0,800.0,750.0,775.0
2004-01-06,2004,1,6,42.0,700.0,800.0,775.0,750.0
2004-01-07,2004,1,7,49.0,700.0,850.0,750.0,775.0
2004-01-08,2004,1,8,3.0,650.0,800.0,775.0,725.0
2004-01-09,2004,1,9,49.0,600.0,750.0,725.0,675.0
2004-01-10,2004,1,10,56.0,600.0,700.0,675.0,650.0
2004-01-12,2004,1,12,0.0,500.0,700.0,650.0,600.0
2004-01-13,2004,1,13,33.0,450.0,700.0,600.0,580.0
2004-01-14,2004,1,14,0.0,500.0,700.0,580.0,600.0
2004-01-15,2004,1,15,86.0,450.0,700.0,600.0,600.0
2004-01-16,2004,1,16,5.0,500.0,700.0,600.0,600.0
2004-01-17,2004,1,17,7.0,450.0,700.0,600.0,575.0
2004-01-19,2004,1,19,0.0,400.0,600.0,575.0,500.0
2004-01-20,2004,1,20,6.0,350.0,550.0,500.0,450.0
2004-01-21,2004,1,21,41.0,300.0,500.0,450.0,400.0
2004-01-22,2004,1,22,0.0,200.0,380.0,400.0,290.0
2004-01-23,2004,1,23,0.0,180.0,350.0,290.0,266.0
2004-01-24,2004,1,24,0.0,280.0,450.0,266.0,365.0
2004-01-27,2004,1,27,4.0,250.0,400.0,365.0,325.0
2004-01-29,2004,1,29,4.0,300.0,400.0,325.0,350.0
2004-01-31,2004,1,31,41.0,380.0,500.0,350.0,440.0
2004-02-03,2004,2,3,5.0,400.0,550.0,440.0,475.0
2004-02-04,2004,2,4,28.0,450.0,550.0,475.0,500.0
2004-02-05,2004,2,5,8.0,500.0,600.0,500.0,550.0
2004-02-06,2004,2,6,8.0,550.0,650.0,550.0,600.0
2004-02-09,2004,2,9,0.0,650.0,750.0,600.0,700.0
2004-02-10,2004,2,10,8.0,600.0,700.0,700.0,650.0
2004-02-11,2004,2,11,0.0,550.0,650.0,650.0,600.0
2004-02-13,2004,2,13,5.0,500.0,560.0,600.0,530.0
2004-02-14,2004,2,14,39.0,500.0,550.0,530.0,525.0
2004-02-16,2004,2,16,3.0,500.0,600.0,525.0,550.0
2004-02-17,2004,2,17,38.0,500.0,600.0,550.0,500.0
2004-02-19,2004,2,19,46.0,350.0,400.0,500.0,375.0
2004-02-20,2004,2,20,5.0,360.0,400.0,375.0,380.0
2004-02-21,2004,2,21,40.0,350.0,425.0,380.0,385.0
2004-02-23,2004,2,23,61.0,250.0,350.0,385.0,300.0
2004-02-24,2004,2,24,8.0,200.0,300.0,300.0,260.0
2004-02-25,2004,2,25,1.0,180.0,300.0,260.0,240.0
2004-02-26,2004,2,26,38.0,200.0,350.0,240.0,275.0
2004-03-01,2004,3,1,26.0,250.0,400.0,275.0,320.0
2004-03-03,2004,3,3,32.0,300.0,400.0,320.0,350.0
2004-03-04,2004,3,4,38.0,260.0,350.0,350.0,305.0
2004-03-05,2004,3,5,46.0,250.0,350.0,305.0,300.0
2004-03-08,2004,3,8,0.0,300.0,360.0,300.0,330.0
2004-03-09,2004,3,9,16.0,240.0,350.0,330.0,220.0
2004-03-10,2004,3,10,21.0,200.0,300.0,220.0,250.0
2004-03-11,2004,3,11,0.0,200.0,300.0,250.0,260.0
2004-03-12,2004,3,12,0.0,180.0,300.0,260.0,240.0
2004-03-13,2004,3,13,28.0,200.0,280.0,240.0,240.0
2004-03-15,2004,3,15,0.0,200.0,300.0,240.0,260.0
2004-03-16,2004,3,16,23.0,200.0,330.0,260.0,265.0
2004-03-17,2004,3,17,28.0,200.0,350.0,265.0,275.0
2004-03-18,2004,3,18,0.0,220.0,300.0,275.0,260.0
2004-03-19,2004,3,19,0.0,200.0,280.0,260.0,240.0
2004-03-22,2004,3,22,0.0,210.0,300.0,240.0,260.0
2004-03-23,2004,3,23,0.0,180.0,280.0,260.0,230.0
2004-03-24,2004,3,24,0.0,116.0,240.0,230.0,200.0
2004-03-26,2004,3,26,53.0,110.0,240.0,200.0,175.0
2004-03-27,2004,3,27,48.0,100.0,180.0,175.0,140.0
2004-04-01,2004,4,1,8.0,100.0,160.0,140.0,130.0
2004-04-05,2004,4,5,0.0,120.0,200.0,130.0,160.0
2004-04-06,2004,4,6,0.0,100.0,180.0,160.0,140.0
2004-04-07,2004,4,7,0.0,110.0,200.0,140.0,155.0
2004-04-10,2004,4,10,0.0,140.0,260.0,155.0,200.0
2004-04-12,2004,4,12,14.0,200.0,260.0,200.0,230.0
2004-04-15,2004,4,15,0.0,160.0,250.0,230.0,205.0
2004-04-17,2004,4,17,0.0,120.0,200.0,205.0,160.0
2004-04-21,2004,4,21,0.0,100.0,160.0,160.0,130.0
2004-04-22,2004,4,22,18.0,100.0,140.0,130.0,120.0
2004-04-23,2004,4,23,24.0,80.0,120.0,120.0,100.0
2004-04-24,2004,4,24,0.0,80.0,110.0,100.0,95.0
2004-04-26,2004,4,26,16.0,106.0,140.0,95.0,120.0
2004-04-28,2004,4,28,0.0,100.0,110.0,120.0,105.0
2004-04-29,2004,4,29,18.0,100.0,130.0,105.0,115.0
2004-04-30,2004,4,30,11.0,100.0,140.0,115.0,120.0
2004-05-01,2004,5,1,12.0,110.0,140.0,120.0,125.0
2004-05-06,2004,5,6,0.0,120.0,180.0,125.0,150.0
2004-05-07,2004,5,7,12.0,140.0,200.0,150.0,170.0
2004-05-08,2004,5,8,0.0,150.0,200.0,170.0,175.0
2004-05-11,2004,5,11,0.0,140.0,180.0,175.0,160.0
2004-05-12,2004,5,12,10.0,140.0,200.0,160.0,170.0
2004-05-13,2004,5,13,0.0,160.0,220.0,170.0,190.0
2004-05-14,2004,5,14,10.0,180.0,240.0,190.0,210.0
2004-05-15,2004,5,15,8.0,180.0,260.0,210.0,220.0
2004-05-25,2004,5,25,11.0,200.0,300.0,220.0,250.0
2004-05-26,2004,5,26,0.0,220.0,300.0,250.0,260.0
2004-05-27,2004,5,27,11.0,300.0,350.0,260.0,330.0
2004-12-07,2004,12,7,0.0,650.0,800.0,330.0,725.0
2004-12-13,2004,12,13,77.0,500.0,600.0,725.0,550.0
2004-12-14,2004,12,14,17.0,400.0,600.0,550.0,500.0
2004-12-15,2004,12,15,18.0,400.0,500.0,500.0,450.0
2004-12-17,2004,12,17,0.0,350.0,500.0,450.0,425.0
2004-12-18,2004,12,18,0.0,300.0,500.0,425.0,400.0
2004-12-21,2004,12,21,14.0,360.0,600.0,400.0,480.0
2004-12-22,2004,12,22,0.0,400.0,600.0,480.0,500.0
2004-12-23,2004,12,23,23.0,400.0,500.0,500.0,450.0
2004-12-24,2004,12,24,20.0,400.0,460.0,450.0,430.0
2004-12-27,2004,12,27,17.0,350.0,450.0,430.0,400.0
2004-12-28,2004,12,28,0.0,360.0,400.0,400.0,380.0
2004-12-29,2004,12,29,35.0,300.0,400.0,380.0,350.0
2004-12-30,2004,12,30,20.0,400.0,500.0,350.0,450.0
2004-12-31,2004,12,31,19.0,400.0,550.0,450.0,475.0
2005-01-01,2005,1,1,27.0,400.0,500.0,475.0,450.0
2005-01-03,2005,1,3,36.0,450.0,550.0,450.0,500.0
2005-01-04,2005,1,4,0.0,450.0,600.0,500.0,525.0
2005-01-10,2005,1,10,1.0,400.0,560.0,525.0,480.0
2005-01-12,2005,1,12,38.0,400.0,500.0,480.0,460.0
2005-01-13,2005,1,13,25.0,440.0,550.0,460.0,495.0
2005-01-14,2005,1,14,34.0,400.0,500.0,495.0,450.0
2005-01-15,2005,1,15,0.0,360.0,500.0,450.0,430.0
2005-01-17,2005,1,17,52.0,400.0,650.0,430.0,550.0
2005-01-18,2005,1,18,38.0,400.0,500.0,550.0,450.0
2005-01-19,2005,1,19,16.0,450.0,550.0,450.0,500.0
2005-01-20,2005,1,20,2.0,450.0,550.0,500.0,500.0
2005-01-22,2005,1,22,0.0,400.0,600.0,500.0,500.0
2005-01-24,2005,1,24,22.0,400.0,600.0,500.0,500.0
2005-01-25,2005,1,25,0.0,360.0,550.0,500.0,455.0
2005-01-27,2005,1,27,0.0,300.0,500.0,455.0,400.0
2005-01-28,2005,1,28,27.0,300.0,460.0,400.0,380.0
2005-02-07,2005,2,7,38.0,550.0,700.0,380.0,625.0
2005-02-10,2005,2,10,51.0,500.0,650.0,625.0,575.0
2005-02-12,2005,2,12,61.0,500.0,650.0,575.0,575.0
2005-02-14,2005,2,14,46.0,550.0,700.0,575.0,625.0
2005-02-15,2005,2,15,27.0,500.0,700.0,625.0,600.0
2005-02-16,2005,2,16,26.0,500.0,650.0,600.0,575.0
2005-02-17,2005,2,17,27.0,450.0,600.0,575.0,525.0
2005-02-19,2005,2,19,38.0,400.0,500.0,525.0,450.0
2005-02-22,2005,2,22,19.0,450.0,550.0,450.0,500.0
2005-02-23,2005,2,23,17.0,400.0,500.0,500.0,450.0
2005-02-26,2005,2,26,22.0,300.0,500.0,450.0,400.0
2005-03-03,2005,3,3,23.0,500.0,600.0,400.0,550.0
2005-03-05,2005,3,5,24.0,550.0,700.0,550.0,625.0
2005-03-06,2005,3,6,13.0,500.0,700.0,625.0,600.0
2005-03-16,2005,3,16,12.0,500.0,600.0,600.0,550.0
2005-03-17,2005,3,17,14.0,500.0,600.0,550.0,550.0
2005-03-18,2005,3,18,12.0,450.0,550.0,550.0,500.0
2005-03-24,2005,3,24,19.0,400.0,500.0,500.0,475.0
2005-03-30,2005,3,30,16.0,350.0,500.0,475.0,425.0
2005-03-31,2005,3,31,23.0,300.0,500.0,425.0,400.0
2006-03-03,2006,3,3,23.0,500.0,600.0,400.0,550.0
2006-03-05,2006,3,5,24.0,550.0,700.0,550.0,625.0
2006-03-06,2006,3,6,13.0,500.0,700.0,625.0,600.0
2006-03-16,2006,3,16,12.0,500.0,600.0,600.0,550.0
2006-03-17,2006,3,17,14.0,500.0,600.0,550.0,550.0
2006-03-18,2006,3,18,12.0,450.0,550.0,550.0,500.0
2006-03-24,2006,3,24,19.0,400.0,500.0,500.0,475.0
2006-03-30,2006,3,30,16.0,350.0,500.0,475.0,425.0
2006-03-31,2006,3,31,23.0,300.0,500.0,425.0,400.0
2007-03-03,2007,3,3,23.0,500.0,600.0,400.0,550.0
2007-03-05,2007,3,5,24.0,550.0,700.0,550.0,625.0
2007-03-06,2007,3,6,13.0,500.0,700.0,625.0,600.0
2007-03-16,2007,3,16,12.0,500.0,600.0,600.0,550.0
2007-03-17,2007,3,17,14.0,500.0,600.0,550.0,550.0
2007-03-18,2007,3,18,12.0,450.0,550.0,550.0,500.0
2007-03-24,2007,3,24,19.0,400.0,500.0,500.0,475.0
2007-03-30,2007,3,30,16.0,350.0,500.0,475.0,425.0
2007-03-31,2007,3,31,23.0,300.0,500.0,425.0,400.0
2008-01-01,2008,1,1,35.0,400.0,600.0,400.0,500.0
2008-01-02,2008,1,2,32.0,450.0,650.0,500.0,550.0
2008-01-03,2008,1,3,30.0,475.0,700.0,550.0,587.0
2008-01-04,2008,1,4,34.0,500.0,725.0,587.0,612.0
2008-01-05,2008,1,5,36.0,500.0,700.0,612.0,600.0
2008-01-07,2008,1,7,40.0,450.0,650.0,600.0,550.0
2008-01-08,2008,1,8,45.0,425.0,650.0,550.0,537.0
2008-01-09,2008,1,9,42.0,450.0,600.0,537.0,525.0
2008-01-10,2008,1,10,45.0,425.0,600.0,525.0,512.0
2008-01-11,2008,1,11,50.0,450.0,650.0,512.0,550.0
2008-01-12,2008,1,12,53.0,500.0,600.0,550.0,550.0
2008-01-14,2008,1,14,53.0,500.0,600.0,550.0,550.0
2008-01-15,2008,1,15,56.0,475.0,600.0,550.0,537.0
2008-01-16,2008,1,16,52.0,400.0,650.0,537.0,525.0
2008-01-17,2008,1,17,48.0,450.0,680.0,525.0,565.0
2008-01-18,2008,1,18,50.0,400.0,650.0,565.0,525.0
2008-01-19,2008,1,19,48.0,450.0,680.0,525.0,565.0
2008-01-21,2008,1,21,50.0,400.0,650.0,565.0,525.0
2008-01-22,2008,1,22,60.0,400.0,500.0,525.0,450.0
2008-01-23,2008,1,23,50.0,450.0,550.0,450.0,500.0
2008-01-24,2008,1,24,50.0,400.0,600.0,500.0,500.0
2008-01-25,2008,1,25,45.0,450.0,650.0,500.0,550.0
2008-01-28,2008,1,28,40.0,550.0,700.0,550.0,625.0
2008-01-29,2008,1,29,43.0,600.0,725.0,625.0,662.0
2008-01-30,2008,1,30,38.0,700.0,800.0,662.0,750.0
2008-01-31,2008,1,31,40.0,675.0,750.0,750.0,712.0
2008-02-01,2008,2,1,32.0,500.0,650.0,712.0,575.0
2008-02-02,2008,2,2,30.0,600.0,800.0,575.0,700.0
2008-02-04,2008,2,4,28.0,650.0,900.0,700.0,775.0
2008-02-05,2008,2,5,34.0,625.0,1000.0,775.0,812.0
2008-02-06,2008,2,6,32.0,650.0,1050.0,812.0,850.0
2008-02-07,2008,2,7,36.0,700.0,1050.0,850.0,875.0
2008-02-08,2008,2,8,39.0,750.0,1000.0,875.0,875.0
2008-02-09,2008,2,9,40.0,850.0,1050.0,875.0,950.0
2008-02-11,2008,2,11,37.0,875.0,1050.0,950.0,962.0
2008-02-12,2008,2,12,39.0,800.0,1000.0,962.0,900.0
2008-02-13,2008,2,13,35.0,850.0,1075.0,900.0,962.0
2008-02-14,2008,2,14,40.0,800.0,1000.0,962.0,900.0
2008-02-15,2008,2,15,45.0,775.0,1000.0,900.0,887.0
2008-02-16,2008,2,16,38.0,800.0,1150.0,887.0,975.0
2008-02-18,2008,2,18,40.0,850.0,1125.0,975.0,987.0
2008-02-19,2008,2,19,43.0,750.0,1125.0,987.0,937.0
2008-02-20,2008,2,20,40.0,875.0,1150.0,937.0,1012.0
2008-02-21,2008,2,21,45.0,800.0,1000.0,1012.0,900.0
